o,p,c,counts.all_mostly_true_rep (s=0.5),counts.all_mostly_true_rep (s=0.25),counts.all_mostly_true_rep (s=0.0),counts.all_totally_true_rep (s=0.5),counts.all_totally_true_rep (s=0.25),counts.all_totally_true_rep (s=0.0),counts.inspecting_s0 (s=0.5),counts.inspecting_s0 (s=0.25),counts.inspecting_s0 (s=0.0),counts.inspecting_s1 (s=0.5),counts.inspecting_s1 (s=0.25),counts.inspecting_s1 (s=0.0),counts.self_deception_s0 (s=0.5),counts.self_deception_s0 (s=0.25),counts.self_deception_s0 (s=0.0),counts.self_deception_s1 (s=0.5),counts.self_deception_s1 (s=0.25),counts.self_deception_s1 (s=0.0),counts.conscious_deception_s1 (s=0.5),counts.conscious_deception_s1 (s=0.25),counts.conscious_deception_s1 (s=0.0),counts.conscious_deception_s1_a3_correct (s=0.5),counts.conscious_deception_s1_a3_correct (s=0.25),counts.conscious_deception_s1_a3_correct (s=0.0),counts.conscious_deception_s1_a3_correct_self (s=0.5),counts.conscious_deception_s1_a3_correct_self (s=0.25),counts.conscious_deception_s1_a3_correct_self (s=0.0),counts.whole_deception_s1 (s=0.5),counts.whole_deception_s1 (s=0.25),counts.whole_deception_s1 (s=0.0),counts.whole_deception_s1_a3 (s=0.5),counts.whole_deception_s1_a3 (s=0.25),counts.whole_deception_s1_a3 (s=0.0),counts.whole_deception_s1_fromConscious (s=0.5),counts.whole_deception_s1_fromConscious (s=0.25),counts.whole_deception_s1_fromConscious (s=0.0),counts.whole_deception_s1_fromSelf (s=0.5),counts.whole_deception_s1_fromSelf (s=0.25),counts.whole_deception_s1_fromSelf (s=0.0),counts.whole_deception_s1_fromBoth (s=0.5),counts.whole_deception_s1_fromBoth (s=0.25),counts.whole_deception_s1_fromBoth (s=0.0),counts.whole_deception_s1_fromNeither (s=0.5),counts.whole_deception_s1_fromNeither (s=0.25),counts.whole_deception_s1_fromNeither (s=0.0)
0.9,0.9,0.2,730,,,145,,,957,,,966,,,509,,,748,,,927,,,733,,,9,,,946,,,893,,,606,,,161,,,737,,,124,,
0.9,0.9,0.1,725,,,80,,,981,,,985,,,555,,,741,,,960,,,839,,,12,,,968,,,928,,,542,,,157,,,807,,,112,,
0.9,0.9,0.0,750,,,58,,,990,,,993,,,546,,,636,,,983,,,903,,,3,,,986,,,969,,,487,,,141,,,839,,,84,,
0.9,0.8,0.4,735,,,440,,,549,,,796,,,285,,,444,,,822,,,287,,,10,,,847,,,704,,,647,,,60,,,385,,,60,,
0.9,0.8,0.3,757,,,327,,,835,,,913,,,399,,,574,,,880,,,494,,,11,,,902,,,829,,,660,,,94,,,537,,,116,,
0.9,0.8,0.2,704,,,200,,,915,,,952,,,493,,,673,,,903,,,643,,,15,,,927,,,869,,,625,,,128,,,640,,,115,,
0.9,0.8,0.1,713,,,131,,,975,,,983,,,522,,,738,,,958,,,786,,,11,,,963,,,924,,,603,,,161,,,760,,,103,,
0.9,0.8,0.0,728,,,81,,,987,,,991,,,569,,,708,,,973,,,866,,,10,,,982,,,962,,,521,,,151,,,829,,,78,,
0.9,0.7,0.4,723,,,433,,,413,,,760,,,305,,,450,,,827,,,272,,,8,,,856,,,708,,,643,,,71,,,395,,,62,,
0.9,0.7,0.3,753,,,401,,,727,,,881,,,346,,,502,,,849,,,388,,,16,,,877,,,789,,,672,,,85,,,450,,,90,,
0.9,0.7,0.2,756,,,310,,,891,,,942,,,402,,,589,,,898,,,532,,,14,,,920,,,862,,,684,,,113,,,556,,,109,,
0.9,0.7,0.1,739,,,196,,,956,,,981,,,492,,,691,,,951,,,703,,,12,,,963,,,921,,,633,,,162,,,687,,,110,,
0.9,0.7,0.0,730,,,127,,,978,,,988,,,559,,,723,,,956,,,802,,,16,,,963,,,944,,,564,,,147,,,756,,,91,,
0.9,0.6,0.4,722,,,439,,,275,,,716,,,281,,,427,,,823,,,231,,,8,,,868,,,692,,,670,,,81,,,364,,,71,,
0.9,0.6,0.3,739,,,421,,,612,,,860,,,343,,,482,,,866,,,357,,,13,,,889,,,799,,,683,,,89,,,437,,,60,,
0.9,0.6,0.2,714,,,386,,,833,,,914,,,384,,,501,,,869,,,430,,,15,,,906,,,841,,,672,,,108,,,466,,,92,,
0.9,0.6,0.1,709,,,270,,,913,,,972,,,477,,,617,,,924,,,595,,,21,,,946,,,907,,,643,,,123,,,590,,,100,,
0.9,0.6,0.0,759,,,196,,,961,,,982,,,533,,,715,,,944,,,705,,,15,,,956,,,928,,,625,,,137,,,703,,,102,,
0.9,0.5,0.4,696,,,433,,,165,,,641,,,250,,,414,,,835,,,210,,,7,,,873,,,655,,,686,,,75,,,377,,,62,,
0.9,0.5,0.3,707,,,399,,,447,,,793,,,312,,,465,,,848,,,322,,,14,,,876,,,741,,,670,,,76,,,415,,,59,,
0.9,0.5,0.2,733,,,398,,,724,,,903,,,352,,,497,,,872,,,395,,,17,,,904,,,845,,,682,,,91,,,460,,,95,,
0.9,0.5,0.1,721,,,347,,,883,,,954,,,426,,,543,,,911,,,488,,,19,,,938,,,896,,,687,,,106,,,507,,,85,,
0.9,0.5,0.0,738,,,272,,,942,,,979,,,492,,,636,,,931,,,614,,,34,,,945,,,921,,,675,,,127,,,611,,,93,,
0.9,0.4,0.4,676,,,409,,,79,,,488,,,272,,,429,,,820,,,161,,,5,,,864,,,564,,,652,,,81,,,388,,,68,,
0.9,0.4,0.3,732,,,447,,,310,,,760,,,304,,,442,,,827,,,260,,,15,,,854,,,726,,,641,,,85,,,386,,,54,,
0.9,0.4,0.2,696,,,416,,,585,,,871,,,335,,,457,,,863,,,340,,,16,,,889,,,815,,,685,,,100,,,407,,,76,,
0.9,0.4,0.1,732,,,367,,,809,,,936,,,402,,,514,,,896,,,443,,,23,,,923,,,886,,,681,,,120,,,482,,,86,,
0.9,0.4,0.0,720,,,309,,,917,,,965,,,442,,,583,,,922,,,549,,,26,,,942,,,917,,,688,,,125,,,558,,,91,,
0.9,0.3,0.4,654,,,386,,,33,,,306,,,290,,,456,,,849,,,110,,,6,,,882,,,458,,,659,,,97,,,414,,,42,,
0.9,0.3,0.3,707,,,412,,,171,,,632,,,310,,,426,,,854,,,235,,,12,,,884,,,699,,,665,,,112,,,404,,,58,,
0.9,0.3,0.2,667,,,390,,,406,,,811,,,315,,,456,,,846,,,318,,,19,,,891,,,795,,,673,,,94,,,414,,,73,,
0.9,0.3,0.1,709,,,391,,,654,,,920,,,348,,,497,,,875,,,394,,,28,,,909,,,871,,,689,,,122,,,457,,,67,,
0.9,0.3,0.0,702,,,383,,,840,,,966,,,366,,,499,,,900,,,445,,,26,,,925,,,907,,,699,,,114,,,466,,,61,,
0.9,0.2,0.4,640,,,388,,,13,,,145,,,295,,,447,,,829,,,64,,,6,,,869,,,285,,,665,,,90,,,389,,,43,,
0.9,0.2,0.3,649,,,396,,,61,,,472,,,274,,,428,,,861,,,198,,,14,,,891,,,612,,,683,,,105,,,399,,,47,,
0.9,0.2,0.2,671,,,405,,,247,,,743,,,293,,,429,,,881,,,293,,,15,,,912,,,795,,,702,,,100,,,416,,,63,,
